Income,Housing cost,Transportation cost,Healthcare Expense,Food and Dining,Personal Expenses,Financial aid,Credit History,Savings,Academic Performance
f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,outcome,class
5453,1949,4787,4066,410,17911,1,3267,451,1,173384,1
11878,2413,4507,3107,751,4131,1,350,2983,1,98668,0
4220,2744,1437,2923,1818,6361,1,1610,2803,1,90832,0
12482,1031,1881,1493,2410,4837,1,3029,219,1,87366,0
11389,919,2025,3021,2120,19954,1,634,1687,1,178058,1
10842,1817,1376,2541,339,12004,1,2351,1768,1,130174,0
7249,664,3358,1186,2184,18927,1,1793,80,1,159434,0
13000,2679,3761,2482,1150,17488,1,3952,678,1,182088,1
3177,2286,2361,1429,944,4565,1,1346,2759,1,71794,0
10505,2911,3485,1527,919,2745,1,2575,679,1,78214,0
11271,619,2295,1807,2017,3949,1,799,1460,1,76962,0
5910,1360,4667,3915,1098,10314,1,3834,991,1,132258,0
8373,201,3526,1612,2156,14473,1,1636,1057,1,139632,0
21,588,3859,1516,2246,15540,1,2020,1137,1,133088,0
4451,2103,1502,2854,894,5945,1,2167,2805,1,87888,0
9869,1438,701,1291,1437,8145,1,1453,2097,1,96536,0
12348,1055,2368,3763,1842,14628,1,3426,1422,1,162184,0
1675,2998,2125,2698,957,8649,1,1722,2383,1,98876,0
9123,2915,663,2992,2632,9076,1,1326,2862,1,115178,0
555,259,2789,2272,450,15954,1,1419,2098,1,132574,0
2929,681,423,943,404,3677,1,1213,302,1,41624,0
14117,1267,1964,4769,1318,8393,1,3844,229,1,126996,0
14451,515,3284,4769,1743,10903,1,3738,271,1,147094,0
5267,1224,1304,4996,1713,5819,1,2133,1370,1,90544,0
5194,2990,2503,2625,1180,5428,1,2711,504,1,84678,0
4381,942,554,3115,2965,15590,1,2155,50,1,133622,0
6818,2947,4722,3959,994,17360,1,3018,371,1,173968,1
5572,1769,3389,4188,1766,5816,1,2942,2371,1,104680,0
6295,1537,3326,549,1587,5118,1,268,1950,1,73928,0
8798,1687,57,1464,2517,8151,1,504,2611,1,93464,0
10937,2583,1472,2657,427,10214,1,3104,1495,1,124100,0
12199,1297,4584,911,1401,19856,1,3119,136,1,183940,1
164,682,4186,3018,2734,6157,1,1359,892,1,81932,0
14324,2098,397,3540,1880,7961,1,2406,247,1,110740,0
9444,1027,952,1102,1724,13566,1,695,887,1,120340,0
2774,824,465,1261,1697,14910,1,3703,199,1,122572,0
13656,2924,4987,3674,765,16247,1,3544,248,1,181994,1
7412,2041,86,3652,1616,7429,1,3077,319,1,95258,0
14782,1451,2509,4506,2690,10582,1,2671,2576,1,150396,0
1282,1163,2034,3477,1748,7275,1,1558,1599,1,86718,0
10287,2195,939,777,2528,7915,1,3007,2087,1,104760,0
2788,1544,2177,3029,478,19194,1,3302,196,1,159610,0
9277,1487,4576,3082,402,19388,1,463,2441,1,180918,1
7093,358,3452,1600,1234,2541,1,1764,2604,1,70306,0
11464,1320,74,1206,1865,12881,1,2004,639,1,122286,0
12137,234,3978,982,2258,5875,1,780,474,1,89374,0
3181,842,3361,3547,500,17109,1,773,1060,1,146674,0
10037,1471,2378,4970,1630,5135,1,1132,726,1,93920,0
12150,1109,3853,2243,1714,2705,1,2203,597,1,81770,0
9134,2548,3020,2864,1512,2003,1,3756,2698,1,87768,0
12798,1381,345,2820,330,11056,1,511,2187,1,118816,0
6325,1196,3390,3587,2334,2833,1,943,1340,1,73758,0
11094,2401,599,3160,2955,14848,1,436,452,1,140586,0
13096,1115,892,3583,2988,3189,1,2517,2900,1,93110,0
9002,2639,357,2259,2344,9972,1,3772,1344,1,118740,0
2308,2021,3238,4479,1474,9333,1,1602,2127,1,113398,0
5102,1171,2897,776,2507,7760,1,3006,378,1,92358,0
12298,1923,4143,4749,960,10599,1,904,1232,1,138078,0
5970,2557,3503,627,1489,6354,1,2490,84,1,84982,0
86,2848,3530,4227,1889,6502,1,1538,1103,1,90260,0
2890,586,4874,3663,2522,17171,1,666,2815,1,163104,0
1249,793,2612,4858,511,6315,1,2347,1127,1,86782,0
14596,1766,4798,1342,1159,9738,1,1058,2422,1,131960,0
4129,2135,2538,3902,1329,14406,1,2199,2913,1,147840,0
2403,222,2013,3395,1995,15866,1,1183,2113,1,139262,0
14174,1843,3374,2360,1558,4939,1,1473,409,1,95258,0
4403,2487,454,873,2708,15323,1,2142,2141,1,133584,0
13292,1252,1580,3750,1065,10635,1,1220,1729,1,128154,0
3240,1870,2882,4431,867,3268,1,2327,1042,1,74300,0
12841,1005,1294,4005,2246,9538,1,2407,2855,1,131666,0
734,2927,4538,2337,909,11884,1,392,588,1,111874,0
14129,2286,3079,4762,2675,6010,1,1498,1965,1,119466,0
6079,1841,2706,759,2784,6157,1,3891,1943,1,95556,0
3106,239,4663,1033,322,15550,1,490,376,1,126892,0
7397,1067,1281,3645,1222,17021,1,200,1553,1,148224,0
4754,2240,129,4273,1671,17650,1,708,1788,1,150832,0
11581,1307,1809,4667,2103,8932,1,618,2954,1,123776,0
5576,2784,269,701,1455,4235,1,3630,526,1,65554,0
9191,1948,248,2488,1106,13500,1,2565,544,1,128880,0
12005,2290,4572,3945,2130,8953,1,3087,983,1,136926,0
12015,2463,829,4212,1940,13896,1,2487,2568,1,156606,0
4369,1776,4582,2872,1236,19880,1,2439,436,1,175368,1
14601,1368,788,2688,879,16999,1,1951,1963,1,165260,0
10144,352,4871,3852,308,8976,1,2082,1075,1,122994,0
13601,2997,3583,612,1891,8111,1,419,1349,1,109506,0
8361,991,996,2800,2076,13632,1,3815,2677,1,145810,0
1282,1750,2178,2022,2597,16502,1,122,1779,1,134684,0
7169,2990,2281,4158,2663,19166,1,2598,1556,1,183022,1
12809,302,2016,2099,2049,19899,1,3868,2797,1,192844,1
5780,1148,1439,3247,1371,3453,1,2938,1459,1,73658,0
14586,1193,4598,2580,1517,13453,1,2484,1750,1,160968,0
6943,1319,2065,1727,2663,7107,1,1486,2153,1,94226,0
7588,691,904,1502,1580,8404,1,865,533,1,85368,0
8928,1321,1891,2847,876,15697,1,2715,2368,1,155726,0
4565,824,2688,872,1520,9334,1,1923,1345,1,97144,0
1648,1750,2966,2979,1263,18788,1,3034,1976,1,165880,0
1957,353,1582,2276,1381,16978,1,3560,339,1,140288,0
13720,2731,1825,2079,2808,19560,1,3441,695,1,188048,1
955,2304,3332,2939,2453,18234,1,3088,2452,1,168082,0
4623,550,3253,2317,1617,5598,1,242,309,1,71662,0
13154,1855,140,4608,2438,3796,1,3374,2246,1,99152,0
1984,641,1060,1925,1467,4049,1,1664,2497,1,61072,0
8635,1927,4059,2940,910,4317,1,1001,47,1,81044,0
2517,2386,4440,4207,801,2624,1,3276,172,1,75542,0
9332,1070,4055,1081,2162,13635,1,2357,420,1,138600,0
7971,1095,1155,3455,2094,17698,1,688,1556,1,155934,0
13718,2126,3228,4404,2741,5174,1,3271,1126,1,116340,0
9600,1110,572,3644,1268,5422,1,531,2388,1,85038,0
9772,1861,2645,1826,1851,9896,1,867,996,1,111690,0
2590,919,3253,1228,622,15621,1,2195,1183,1,133434,0
9967,890,2382,865,2144,13297,1,3080,373,1,132594,0
4198,1385,2285,4176,1087,6011,1,2776,2100,1,94764,0
4596,1923,3508,3532,2581,19883,1,569,2572,1,178232,1
7023,677,3911,4639,2134,19766,1,3486,2566,1,196682,1
4357,2627,1489,2023,1483,14286,1,2728,1059,1,131856,0
2979,2377,4872,3762,1851,2671,1,3487,2220,1,87814,0
13833,797,3927,3724,2742,8701,1,2386,594,1,129484,0
10163,2360,2354,2093,1826,19310,1,1185,794,1,170272,0
14306,1892,4850,4936,796,6676,1,1451,804,1,122218,0
12615,1402,3138,2556,732,13258,1,2973,1921,1,151408,0
4323,1522,953,4560,2423,8565,1,323,1932,1,99008,0
12810,1396,1979,1675,2574,19039,1,2947,1169,1,178884,1
6608,357,1223,2508,803,5900,1,1437,2191,1,80382,0
2259,1983,2907,1482,2786,19397,1,1881,1308,1,160760,0
1918,2708,4704,3718,1854,15017,1,1089,814,1,144372,0
101,1704,2714,3839,1129,17732,1,1415,1425,1,149842,0
10667,1807,3196,4767,1067,17937,1,694,1853,1,176754,1
10508,2278,3040,1381,1256,18811,1,2088,2682,1,177724,1
9120,2005,960,919,1227,3002,1,403,241,1,52818,0
10685,1915,348,1587,2136,12185,1,3686,761,1,128120,0
14227,872,4159,4308,1173,3149,1,1409,1248,1,95944,0
13124,1000,242,2549,804,16044,1,2675,2419,1,157670,0
2830,1622,1756,3821,2114,4624,1,2674,2617,1,84358,0
10418,269,4197,4425,771,16581,1,1668,1452,1,169380,0
4613,2892,501,1836,1156,6403,1,1481,2650,1,81622,0
12601,2587,2466,4134,1228,10516,1,120,749,1,125814,0
13545,527,1132,4670,2365,5576,1,3874,1114,1,109500,0
12606,2750,1998,1768,2880,19247,1,1327,2192,1,181104,1
12513,598,661,4111,656,6016,1,3433,1926,1,104164,0
9602,2717,1233,4976,1255,6545,1,221,2789,1,103304,0
11641,1548,650,2906,717,2467,1,2432,362,1,68024,0
8870,2114,101,4430,1966,5706,1,3221,2146,1,99738,0
7056,1536,379,4580,671,3492,1,2148,1669,1,74592,0
10376,2785,4097,4874,1770,5998,1,175,2570,1,112724,0
10760,1840,4984,1366,1752,4431,1,2548,2779,1,102008,0
948,1675,379,3112,822,19273,1,1602,616,1,145374,0
1442,204,4571,2456,566,7140,1,1043,613,1,82006,0
6752,1186,4439,3234,1000,10017,1,1242,903,1,117260,0
587,491,1964,2456,2531,3027,1,359,593,1,46878,0
14820,786,1879,2766,1074,12034,1,973,439,1,129802,0
6365,2954,515,3396,822,15318,1,720,1820,1,138004,0
10070,2356,3821,3131,2357,19473,1,132,2790,1,185910,1
14973,513,494,1663,979,6143,1,3371,1931,1,99634,0
6839,468,4285,3107,2455,5533,1,2256,1739,1,98280,0
5539,2065,4339,4599,2840,13252,1,1071,2381,1,149970,0
4194,758,504,4145,1502,14153,1,421,2543,1,128288,0
3786,1602,2977,2434,555,8588,1,1417,1664,1,97392,0
3330,443,2511,892,1450,18195,1,3104,262,1,146702,0
7452,2927,2313,3965,1778,11863,1,1666,1823,1,134570,0
9923,1599,1992,2413,2068,2398,1,2796,407,1,72010,0
8737,1177,4523,965,1513,16764,1,3068,2042,1,165840,0
396,1011,2597,4116,2778,16124,1,1441,1681,1,144464,0
8257,1766,3429,1287,1201,7330,1,1096,697,1,92474,0
297,2118,3838,865,985,18804,1,3037,811,1,153838,0
7907,334,1180,2579,1113,17088,1,3011,1493,1,154298,0
12859,436,4170,1358,1319,12173,1,1584,2183,1,139456,0
11922,2241,2609,3929,1326,4523,1,2857,603,1,98118,0
7117,2488,2718,4690,1864,14454,1,928,2798,1,154208,0
532,306,3135,1062,2241,11340,1,2342,1553,1,106576,0
732,728,3862,535,2349,11102,1,3336,591,1,107536,0
13313,2474,2449,1063,1366,18097,1,1723,58,1,164070,0
12573,2482,2989,4960,1447,9403,1,1203,1296,1,131224,0
6031,339,1125,4769,2556,3246,1,2190,955,1,73494,0
1515,1072,1604,2892,1085,15756,1,1734,593,1,129182,0
5964,2085,1070,514,1893,7300,1,175,787,1,73878,0
11623,328,31,963,2135,10634,1,575,2231,1,107186,0
1389,1843,2536,2720,1928,11185,1,2914,1940,1,117880,0
7797,2915,4390,2132,2539,9905,1,3666,843,1,130066,0
4278,1049,3896,1765,2837,9885,1,934,747,1,105016,0
14797,879,3244,579,445,14345,1,1478,1512,1,145574,0
6376,639,1442,3789,1328,7444,1,2640,510,1,94884,0
11006,542,3588,2400,640,5633,1,1396,2023,1,95812,0
1069,1485,2968,2775,1489,6700,1,2918,444,1,84716,0
7125,2478,1106,3340,1255,15788,1,1092,1821,1,145890,0
858,1982,4112,3686,1945,2511,1,1376,1007,1,65370,0
10089,2426,2012,4171,580,12299,1,3924,217,1,141290,0
11853,591,1746,2748,1546,19735,1,1078,243,1,169660,0
11457,1434,4951,4305,981,11015,1,2767,2816,1,153200,0
3444,322,1878,1501,730,9367,1,3264,541,1,93940,0
7501,1337,1813,4247,2811,9748,1,1013,2086,1,118432,0
10973,938,3788,4437,1232,3334,1,2190,1446,1,93744,0
1179,406,2285,2890,2393,13006,1,176,1839,1,114762,0
9584,549,2552,3305,1878,15807,1,2310,1308,1,156774,0
12691,1518,1244,3473,2527,6917,1,975,2440,1,107512,0
6554,2342,2564,2280,2700,19780,1,3493,1286,1,180374,1
8883,356,2493,3038,652,4857,1,1536,370,1,78682,0
11314,1927,3027,2943,503,9427,1,146,1042,1,112692,0
12966,921,4451,3600,2529,14050,1,3296,1083,1,166862,0
8824,758,617,1671,2940,4039,1,3715,140,1,73860,0
5503,1230,2911,4840,861,3475,1,3447,2455,1,90660,0
9250,478,2700,2170,2944,19629,1,3518,2770,1,187760,1
12310,1846,898,4116,313,9492,1,2015,39,1,114172,0
6188,1937,208,3964,733,3506,1,757,2743,1,69450,0
7755,2646,956,3743,551,6405,1,1132,2746,1,94652,0
11265,718,2136,3550,1549,13088,1,1351,2260,1,142790,0
6774,341,4515,3480,742,16033,1,1268,1447,1,154762,0
9424,2680,4362,3196,1958,10476,1,2674,1895,1,139498,0
10124,2162,3140,3427,350,3977,1,1249,2390,1,89968,0
4539,1624,3424,2672,1250,13336,1,1842,2837,1,137952,0
2775,441,4578,579,1091,9935,1,276,1770,1,97046,0
2529,1942,147,3133,350,14759,1,1904,978,1,122854,0
14290,1021,3475,4394,2946,16091,1,3090,1445,1,182686,1
58,2572,1327,1957,539,7741,1,134,2806,1,77690,0
6491,2497,1327,3248,741,11629,1,1328,2730,1,123774,0
14110,1700,100,1980,2162,5171,1,2067,1422,1,89256,0
59,1742,3080,1206,1245,12233,1,1147,2242,1,110200,0
6707,304,376,3382,2157,14819,1,3188,596,1,137428,0
14147,2467,3040,4153,1788,18445,1,900,987,1,183804,1
9514,1762,4587,2384,2147,12515,1,697,434,1,134354,0
11726,1989,53,2362,315,3133,1,3264,1434,1,75320,0
11655,2701,2934,1411,2788,18690,1,2533,781,1,177074,1
2034,1072,3678,2471,863,11505,1,3434,988,1,119262,0
1264,2364,2073,1462,1744,5365,1,2627,599,1,69988,0
11875,1391,3749,2447,2588,6705,1,1157,563,1,103612,0
14587,2427,67,3033,2583,9896,1,2175,2949,1,131476,0
12026,1616,1086,1485,563,3998,1,3931,2738,1,89368,0
12131,1496,4079,3612,329,15090,1,866,2205,1,161510,0
12874,799,365,4767,2884,15703,1,1828,922,1,158870,0
8287,1614,3156,968,390,6611,1,605,1833,1,86506,0
2379,536,2902,2380,534,9496,1,2008,1398,1,98636,0
5016,2512,3491,2205,1629,15121,1,606,240,1,135218,0
14821,2292,4279,1898,2790,6500,1,2202,1417,1,118000,0
8652,2045,3425,3523,2117,16494,1,3190,564,1,167410,0
2110,1674,493,4838,339,9521,1,3118,730,1,102098,0
7976,2250,252,3801,1153,12914,1,2274,52,1,125768,0
14354,2344,4515,4787,974,8708,1,509,1735,1,133786,0
12949,1496,3380,1891,1691,2822,1,3146,1352,1,88290,0
863,2109,2408,1470,2550,9240,1,1287,1151,1,91758,0
13240,807,2943,1896,2655,10866,1,1672,1007,1,128682,0
1130,1580,2386,3333,2026,17902,1,2542,1100,1,154338,0
11852,2237,4323,3482,1672,13853,1,3056,1008,1,162126,0
2072,2684,3621,1853,2377,16034,1,3994,1584,1,154688,0
751,2702,769,2641,2873,9278,1,3474,1054,1,100082,0
7598,2313,1658,1269,1528,2175,1,1568,2332,1,63246,0
4901,2862,3835,4400,1960,13014,1,1798,1036,1,141816,0
13216,318,1725,1901,1790,18909,1,1440,1780,1,171496,0
5248,2604,4085,1444,794,2988,1,1401,1685,1,69690,0
10436,2499,1856,1925,517,12072,1,3833,1952,1,137610,0
11846,931,3959,3444,996,2388,1,501,1516,1,79564,0
14316,1441,1037,3026,1053,8423,1,1117,2037,1,113036,0
13444,2228,2332,3500,2714,10816,1,3951,226,1,141714,0
11400,2086,3624,3578,1870,14080,1,3777,2894,1,170694,0
2093,1367,2661,3915,2387,8382,1,354,1565,1,95976,0
14151,1428,4544,811,1745,14379,1,2364,1541,1,157972,0
7540,2695,2768,4140,1614,10632,1,2303,288,1,125496,0
8343,671,1794,2044,1871,7103,1,1768,1044,1,90998,0
12724,1255,3239,2304,1216,4993,1,1070,1863,1,94262,0
2983,2203,3261,4899,2797,18548,1,2773,2307,1,180224,1
1091,1032,4916,3531,2566,7229,1,678,2050,1,97462,0
10355,1777,4612,2680,1179,17339,1,1024,2867,1,175398,1
2139,457,129,3428,829,17301,1,743,1988,1,135818,0
4235,1413,4703,2638,510,18952,1,2939,1149,1,171754,0
8343,1339,2212,3042,1149,19639,1,2987,496,1,174454,1
7649,557,1759,1420,1403,5897,1,2260,2325,1,85666,0
12402,374,4856,3214,817,15968,1,3431,1949,1,176804,1
1141,2534,3088,3812,1523,15635,1,618,1813,1,141540,0
13315,1142,4993,4448,415,18537,1,2108,54,1,187388,1
254,365,1953,4757,2115,15874,1,1611,2864,1,145462,0
3853,1541,845,1090,715,9247,1,938,2403,1,88814,0
13308,652,181,1098,2346,4881,1,2405,2472,1,86532,0
9798,1251,3371,3675,2285,17296,1,1250,109,1,164074,0
1522,1974,2801,4696,1066,2686,1,1913,2714,1,73746,0
2537,1599,4584,3939,2834,3326,1,3304,245,1,82194,0
14154,1311,2754,2844,1630,15415,1,2307,1780,1,165430,0
14324,476,996,2485,1490,19193,1,3732,2848,1,187992,1
2545,2512,1888,1198,2430,8241,1,3172,1352,1,94870,0
13517,1497,132,2246,2155,17729,1,1746,712,1,160066,0
5365,1244,3251,3240,630,10726,1,2089,2600,1,123564,0
10156,1416,1011,1273,1635,19462,1,565,1884,1,162128,0
5565,1473,3204,4037,2516,17322,1,3750,1408,1,172646,1
1566,2002,2,1907,2449,7868,1,2437,982,1,80564,0
3068,497,1550,933,1288,7794,1,105,2930,1,78552,0
12311,2425,2429,727,1672,3724,1,2213,186,1,77390,0
14809,829,3852,4767,1762,13424,1,1760,2938,1,168622,0
12789,2176,4942,2983,1796,8784,1,3673,2711,1,143472,0
3257,269,1645,936,901,16127,1,3480,1110,1,134310,0
6483,1552,3616,3081,878,6981,1,696,2845,1,100674,0
6851,2243,3570,4290,774,2940,1,307,1785,1,77194,0
13572,1718,4658,2775,1577,15464,1,1186,2768,1,172076,0
1558,838,3368,2340,2939,9151,1,314,1500,1,95674,0
1320,1237,3795,3907,1302,15695,1,3496,2149,1,155286,0
5476,2889,3139,3073,992,11551,1,2105,2084,1,129634,0
3450,1569,1963,3887,2454,3416,1,558,1336,1,66428,0
14186,2572,2145,2867,2016,3021,1,3884,615,1,93728,0
2221,1431,4653,2220,1420,17415,1,1778,1231,1,154172,0
5808,859,4382,4114,1419,16424,1,1878,1161,1,160866,0
1823,1710,914,3496,1087,17263,1,3689,1599,1,151620,0
8800,386,4219,2381,2747,6657,1,1436,2034,1,104098,0
5080,962,4983,2311,706,5357,1,1757,2321,1,91136,0
4659,1025,4946,2214,867,4062,1,2859,615,1,80020,0
5746,1534,391,1839,2839,6228,1,3241,798,1,82692,0
9433,1882,4392,2808,674,17125,1,826,381,1,160366,0
2319,2215,3282,4428,654,14449,1,420,2492,1,139568,0
3430,1503,2111,3791,2262,2180,1,2020,1364,1,64624,0
9634,1574,3217,1178,1075,5207,1,1599,688,1,82546,0
2428,905,3973,1546,461,19609,1,3366,136,1,161336,0
11243,920,3735,4904,2756,7011,1,634,2889,1,120562,0
11234,2920,1934,3234,558,10906,1,3872,531,1,133154,0
12179,2773,3354,1693,771,18860,1,3383,1900,1,185936,1
9866,1388,2451,1997,1222,18674,1,1394,65,1,160634,0
12793,838,3444,611,1086,2858,1,2042,531,1,73104,0
9876,1528,2879,3147,2688,19387,1,871,107,1,172532,1
7081,2599,3790,2195,1552,15986,1,3999,468,1,160198,0
1565,613,1279,4754,643,17015,1,3861,1285,1,152458,0
1582,2802,3161,4499,489,6292,1,2615,204,1,89424,0
392,291,4484,1267,364,15634,1,1725,1961,1,133656,0
7195,2798,4917,2882,1107,2066,1,2815,2525,1,87162,0
4451,2290,1857,3014,1910,10447,1,2585,1982,1,117746,0
4354,812,1958,2071,635,11777,1,2285,154,1,108146,0
9813,389,1755,2913,2475,4007,1,2201,2203,1,85694,0
3084,1597,2643,675,2778,5601,1,254,398,1,64414,0
1968,2476,940,2203,791,10985,1,2246,2191,1,106710,0
4621,2810,894,1104,1416,17309,1,2638,871,1,143586,0
10820,2427,299,2940,907,19195,1,3330,2878,1,181276,1
1228,1838,2988,1055,1383,5489,1,3296,1844,1,78574,0
7085,233,648,4091,1087,19178,1,247,1289,1,156988,0
1746,934,3694,3894,1657,18499,1,1931,2635,1,168294,0
1707,966,3952,1335,1509,3961,1,3294,1723,1,73356,0
12578,2733,3027,4763,346,11339,1,2515,1656,1,147202,0
13560,1785,2291,3606,1197,8829,1,2029,965,1,121632,0
6493,668,3942,2297,2550,12521,1,2029,2858,1,139062,0
5179,1206,311,4610,2845,4441,1,570,2741,1,78044,0
7078,2684,3416,4206,1947,3047,1,717,98,1,75458,0
8300,875,1784,4191,887,14265,1,3733,517,1,146624,0
9603,2026,2594,1067,1157,6741,1,3790,236,1,96776,0
6199,254,2542,4942,2247,9214,1,3926,2937,1,130082,0
5730,741,426,4237,2111,4399,1,892,724,1,68684,0
10355,2652,3317,2571,1176,3849,1,2078,1634,1,89870,0
6855,735,250,1062,2668,8482,1,2969,145,1,89122,0
11843,1497,4240,1505,1723,7382,1,3547,217,1,112464,0
8876,930,1957,3229,526,15809,1,2671,2696,1,157740,0
10633,2164,4940,3276,986,11150,1,582,2292,1,138836,0
457,2289,2302,1812,1906,9563,1,3322,1416,1,102100,0
14526,604,4973,1065,2657,4741,1,2278,2740,1,108254,0
10440,2817,3476,1198,1268,10332,1,1233,401,1,116284,0
8307,1002,3975,4917,2585,11092,1,2420,2996,1,147582,0
5704,2676,4084,1781,1334,4020,1,1037,2673,1,81858,0
6375,1178,3134,4677,532,14699,1,1660,2856,1,153682,0
13190,989,1298,4626,337,13543,1,2812,2474,1,155140,0
10686,2533,4578,572,1143,19492,1,781,1949,1,177206,1
8154,1607,4586,3668,2395,2469,1,2126,573,1,82948,0
5939,1413,2393,4814,884,19496,1,3734,1688,1,183974,1
12613,591,1394,1881,2143,18710,1,3520,753,1,173156,1
5793,2296,492,3055,2322,5279,1,899,1165,1,74950,0
6348,1192,1584,4026,2298,4615,1,3155,301,1,83640,0
3237,892,3272,2743,2392,18578,1,3583,806,1,166136,0
9274,1658,2878,4964,1454,13882,1,3146,1194,1,156802,0
4078,1727,708,2530,2831,17694,1,3549,258,1,151626,0
4191,1665,3636,4946,2054,5018,1,3730,2196,1,103970,0
2528,922,3062,514,2429,4072,1,875,71,1,54288,0
10174,1745,4322,4217,2401,14410,1,2595,307,1,160874,0
11046,2250,4481,3535,1472,6541,1,1550,1144,1,111632,0
12819,1333,2015,1130,447,8825,1,3142,2813,1,118558,0
675,2224,724,1124,1501,16336,1,3978,2228,1,139042,0
12264,2205,4156,1637,2671,15469,1,3266,2606,1,173764,1
2034,2606,3956,2925,1528,3072,1,1260,1584,1,69678,0
9435,983,1706,3978,2758,19987,1,3623,2065,1,191772,1
250,995,1766,1442,1461,11424,1,2543,1496,1,102954,0
